episode,step,sim_time,total_Halted,action,phase_tl1,phase_tl2,phase_tl3
0,0,10.0,6.0,1,1,0,0
0,1,15.0,8.0,3,1,0,1
0,2,20.0,0.0,1,0,0,1
0,3,25.0,0.0,0,0,0,1
0,4,30.0,1.0,0,0,0,1
0,5,35.0,7.0,1,1,0,1
0,6,40.0,4.0,3,1,0,0
0,7,45.0,1.0,1,0,0,0
0,8,50.0,6.0,1,1,1,0
0,9,55.0,7.0,2,1,0,0
0,10,60.0,3.0,1,0,0,0
0,11,65.0,11.0,1,1,0,0
0,12,70.0,10.0,3,1,0,1
0,13,75.0,8.0,1,0,0,1
0,14,80.0,11.0,1,1,0,1
0,15,85.0,10.0,3,1,0,0
0,16,90.0,4.0,1,0,0,0
0,17,95.0,7.0,1,1,0,0
0,18,100.0,7.0,1,0,1,0
0,19,105.0,7.0,2,0,0,0
0,20,110.0,7.0,1,1,0,0
0,21,115.0,5.0,3,1,0,1
0,22,120.0,5.0,1,0,0,1
0,23,125.0,8.0,0,0,0,1
0,24,130.0,7.0,3,0,0,0
0,25,135.0,5.0,1,1,0,0
0,26,140.0,7.0,1,0,0,0
0,27,145.0,10.0,1,1,0,0
0,28,150.0,8.0,3,1,1,1
0,29,155.0,8.0,2,1,0,1
0,30,160.0,6.0,3,1,0,0
0,31,165.0,4.0,1,0,0,0
0,32,170.0,6.0,1,1,0,0
0,33,175.0,3.0,1,0,0,0
0,34,180.0,3.0,3,0,0,1
0,35,185.0,6.0,1,1,0,1
0,36,190.0,4.0,3,1,0,0
0,37,195.0,6.0,1,0,0,0
0,38,200.0,8.0,1,1,1,0
0,39,205.0,9.0,2,1,0,0
0,40,210.0,4.0,1,0,0,0
0,41,215.0,4.0,3,0,0,1
0,42,220.0,3.0,3,0,0,0
0,43,225.0,11.0,2,0,1,0
0,44,230.0,6.0,2,0,0,0
0,45,235.0,5.0,3,0,0,1
0,46,240.0,4.0,3,0,0,0
0,47,245.0,6.0,1,1,0,0
0,48,250.0,4.0,1,0,0,0
0,49,255.0,1.0,3,0,0,1
0,50,260.0,8.0,3,0,0,0
0,51,265.0,9.0,1,1,0,0
0,52,270.0,6.0,1,0,0,0
0,53,275.0,8.0,3,0,1,1
0,54,280.0,15.0,2,0,0,1
0,55,285.0,6.0,3,0,0,0
0,56,290.0,9.0,1,1,0,0
0,57,295.0,6.0,1,0,0,0
0,58,300.0,11.0,3,0,0,1
0,59,305.0,11.0,1,1,0,1
0,60,310.0,13.0,3,1,0,0
0,61,315.0,6.0,1,0,0,0
0,62,320.0,9.0,3,0,0,1
0,63,325.0,8.0,3,0,1,0
0,64,330.0,8.0,2,0,0,0
0,65,335.0,7.0,1,1,0,0
0,66,340.0,9.0,1,0,0,0
0,67,345.0,4.0,3,0,0,1
0,68,350.0,7.0,1,1,0,1
0,69,355.0,9.0,3,1,0,0
0,70,360.0,7.0,1,0,0,0
0,71,365.0,10.0,3,0,0,1
0,72,370.0,7.0,3,0,0,0
0,73,375.0,9.0,1,1,1,0
0,74,380.0,12.0,2,1,0,0
0,75,385.0,9.0,1,0,0,0
0,76,390.0,6.0,3,0,0,1
0,77,395.0,9.0,1,1,0,1
0,78,400.0,11.0,3,1,0,0
0,79,405.0,4.0,1,0,0,0
0,80,410.0,4.0,2,0,1,0
0,81,415.0,4.0,2,0,0,0
0,82,420.0,9.0,3,0,0,1
0,83,425.0,7.0,3,0,0,0
0,84,430.0,8.0,1,1,0,0
0,85,435.0,8.0,1,0,0,0
0,86,440.0,3.0,3,0,0,1
0,87,445.0,14.0,1,1,0,1
0,88,450.0,17.0,1,0,0,1
0,89,455.0,5.0,3,0,0,0
0,90,460.0,8.0,1,1,1,0
0,91,465.0,11.0,2,1,0,0
0,92,470.0,2.0,1,0,0,0
0,93,475.0,4.0,3,0,0,1
0,94,480.0,0.0,3,0,0,0
0,95,485.0,7.0,2,0,1,0
0,96,490.0,5.0,2,0,0,0
0,97,495.0,3.0,3,0,0,1
0,98,500.0,5.0,3,0,0,0
0,99,505.0,6.0,1,1,0,0
0,100,510.0,5.0,1,0,0,0
0,101,515.0,11.0,3,0,0,1
0,102,520.0,8.0,3,0,0,0
0,103,525.0,6.0,1,1,0,0
0,104,530.0,11.0,1,0,0,0
0,105,535.0,12.0,3,0,1,1
0,106,540.0,8.0,2,0,0,1
